NOME,LATITUDE,LONGITUDE
FUNDACAO FACULDADE DE MEDICINAHCFMUSP INST DE PSIQUIATRIA SP,-23.5592549,-46.6707916
HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,-23.5577989,-46.6698598
HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO,-23.5569850,-46.6680670
INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO,-23.5847819,-46.6507808
HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,-22.8914655,-48.4963416
HOSPITAL REGIONAL DO VALE DO PARAIBA,-23.0293743,-45.5668312
HOSPITAL MUNICIPAL BRASILANDIA,-23.4761092,-46.6983834
HOSPITAL GUILHERME ALVARO SANTOS,-23.9632250,-46.3195390
HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES,-23.5105593,-46.1947095
HOSPITAL MUNICIPAL DE QUELUZ,-22.5385257,-44.7728791
HOSPITAL ESTADUAL DE CAIEIRAS,-23.3666969,-46.7504909
HOSPITAL REGIONAL DE JUNDIAI,-23.1824286,-46.8899581
HOSP MUN DR IGNACIO PROENCA DE GOUVEA,-23.5719286,-46.5902981
HOSPITAL DE BASE DE BAURU,-22.3303361,-49.0768236
CAIS CLEMENTE FERREIRA DE LINS,-21.6366247,-49.7737651
HOSPITAL MUNICIPAL DE BERTIOGA,-23.8429362,-46.1396987
HOSPITAL ESTADUAL AMERICO BRASILIENSE,-21.7410705,-48.1220018
HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO,-23.4995673,-46.4725333
HOSP MUN INFANTIL MENINO JESUS,-23.5602284,-46.6473812
HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO,-23.4814904,-46.6724863
HOSPITAL UNIVERSITARIO DA USP SAO PAULO,-23.5649363,-46.7405751
HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO,-23.6111145,-46.4928113
HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO,-23.4925928,-46.3890304
HOSPITAL MUNICIPAL DE BEBEDOURO JULIA PINTO CALDEIRA,-20.9346763,-48.4964810
HOSPITAL DE CLINICAS SUL,-23.2378264,-45.9089279
HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS,-22.9161093,-47.0685528
UNIDADE MISTA DE SAUDE DE TABOAO DA SERRA,-23.6286844,-46.7932558
HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE,-23.6709183,-46.5331357
HOSPITAL GERAL DE ITAPEVI,-23.5377675,-46.9426740
INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO,-23.5558033,-46.6675382
HOSPITAL DR LEO ORSI BERNARDES ITAPETININGA,-23.5845820,-48.0451682
COMPLEXO MUNICIPAL DE SAUDE,-22.7431278,-45.6249349
HOSPITAL GERAL DE PEDREIRA,-23.6811512,-46.6764103
COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS,-23.4650605,-46.5504633
HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS,-23.5381846,-46.3585281
HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO,-23.2840205,-46.7469450
HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO,-23.4496563,-46.4951351
HOSPITAL GERAL DE ITAPECERICA DA SERRA,-23.7006555,-46.8479094
HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS,-22.8269585,-47.0641160
HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA,-23.6404700,-46.8098752
HOSPITAL VITAL BRAZIL SAO PAULO,-23.5651288,-46.7197047
HOSPITAL ESTADUAL JOAO PAULO II SAO JOSE DO RIO PRETO,-20.8068316,-49.3597824
UNIDADE HOSPITALAR BRASILANDIA FO,-23.4734032,-46.6840088
HOSPITAL MUNICIPAL JOAQUIM RAIMUNDO GOMES GUAPIARA,-24.1847334,-48.5289583
HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO,-23.3392751,-46.7301650
MATERNIDADE GOTA DE LEITE DE ARARAQUARA,-21.7938684,-48.1788363
HOSPITAL DALILA FERREIRA BARBOSA,-23.3923472,-46.3147257
HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADOR MARIO COVAS,-22.8851877,-47.1955618
HOSPITAL MUNICIPAL ANTONIO GIGLIO,-23.5322852,-46.7773055
HOSPITAL REGIONAL DO LITORAL NORTE,-23.6580032,-45.4402677
COMPLEXO HOSPITALAR MUNICIPAL,-25.3419443,-54.2425661
HOSPITAL DR OLAVO HORNEAUX DE MOURA SAO VICENTE,-23.9499347,-46.4597761
HOSPITAL DE REABILITACAO DE ANOMALIAS CRANIOFACIAIS BAURU,-22.3338050,-49.0599270
CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO,-23.4846001,-46.6303924
HOSPITAL MUNICIPAL DE DIADEMA HMD,-23.6917910,-46.5870133
CONJUNTO HOSPITALAR SOROCABA,-23.5092915,-47.4582901
COMPLEXO HOSPITALAR DOS ESTIVADORES,-23.9514129,-46.3220840
HOSPITAL MUNICIPAL SOROCABANA,-23.5242624,-46.7014101
UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP,-23.5843411,-46.6115764
HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA,-23.4424474,-46.9250270
HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA,-23.4668962,-46.5322490
HOSP MUN DR BENEDICTO MONTENEGRO,-23.5881190,-46.5143153
HOSPITAL MUNICIPAL DE ITAPIRA,-22.4317804,-46.8268682
HOSPITAL MUNICIPAL DE VOTORANTIM,-23.5445016,-47.4495676
HOSPITAL REGIONAL JORGE ROSSMANN DE ITANHAEM,-24.1807027,-46.7836782
HOSPITAL MUNICIPAL DE CONCHAS,-23.0181824,-48.0114406
HOSPITAL MUNICIPAL GUARAPIRANGA,-23.7060399,-46.7419224
HOSPITAL DE CAMPANHA COVID 19 ARARAQUARA,-21.8108806,-48.1770414
HOSPITAL DE CAMPANHA COVID 19 HOSPITAL ANCHIETA,-15.8238088,-48.0669087
CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO,-23.5086988,-46.6194592
HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA,-23.4117193,-46.8250973
HOSPITAL GERAL DE CARAPICUIBA,-23.5340765,-46.8304330
HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA,-23.7065270,-46.6088000
HOSPITAL MUNICIPAL UNIVERSITARIO DE TAUBATE,-23.0215727,-45.5563493
HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI,-23.5423452,-46.3195298
HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA,-23.2091054,-46.7725541
HOSPITAL GERAL DE SAO MATEUS SAO PAULO,-23.5944235,-46.4871575
SANTA CASA DE ITU,-23.2704814,-47.2952924
HOSPITAL E MATERNIDADE SAO LUCAS,-23.7057100,-46.4154790
HOSPITAL MUNICIPAL DE PAULINIA,-22.7697161,-47.1494645
CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO,-23.6654448,-46.5275266
HOSPITAL MUNICIPAL DR TABAJARA RAMOS,-22.3785837,-46.9410878
INSTITUTO DO CANCER DO ESTADO DE SAO PAULO,-23.5560378,-46.6681363
HOSPITAL DE CLINICAS DR RADAMES NARDINI,-23.6726807,-46.4503833
HOSPITAL DE URGENCIA,-31.4128309,-64.1759371
HOSPITAL ANCHIETA,-15.8238088,-48.0669087
HOSP MUN DR CARMINO CARICCHIO,-23.5331594,-46.5663499
HOSPITAL MUNICIPAL CAPELA DO SOCORRO,-23.5844809,-46.7388583
HOSP MUN PROF DR WALDOMIRO DE PAULA,-23.5310929,-46.4445184
HOSPITAL ESTADUAL SUMARE,-22.8166550,-47.2416309
HOSPITAL GERAL DE ITAQUAQUECETUBA,-23.4723131,-46.3454386
HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO,-23.5248540,-46.7717743
HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO,-23.4852630,-46.6951351
HOSPITAL ESTADUAL BAURU,-22.3385970,-49.0280905
COMPLEXO HOSPITALAR IRMA DULCE O S S,-24.0047055,-46.4188652
HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO,-23.5359340,-46.5887120
HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL,-23.5929081,-46.5607168
HOSPITAL REGIONAL SUL SAO PAULO,-23.6554039,-46.7058112
HOSPITAL REGIONAL DE ASSIS,-22.6601936,-50.4101121
HOSPITAL MUNICIPAL WALTER FERRARI,-22.7026202,-46.9953435
UNIDADE HOSPITALAR BUTANTA,-23.5634872,-46.7210095
CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO,-23.4840344,-46.6309028
HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO,-23.5525245,-46.4051442
HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO,-23.5519615,-46.5851953
HOSPITAL NESTOR GOULART REIS AMERICO BRASILIENSE,-21.7401452,-48.1216976
HOSP MUN V NHOCUNE ALEXANDRE ZAIO,-23.5430237,-46.5022609
HOSPITAL MUNICIPAL SANTO ANTONIO,-27.0953166,-48.6244380
